id_penjualan, barang
90000001,PERMEN JAHE
90000001,BENG2 DOUBLE COK CARAMEL 22G
90000001,AQUA 600ML
90000001,AQUA PRIMA 1500 ML
90000001,GAGA MI 100 GRG PEDAS 88 GR
90000001,TOP TRIPLE CHOC 20GR
90000001,TANGO WAFER SUSU VANILA 32G
90000001,ROKOK DJARUM SUPER MLD 20
90000001,ROKOK IN MILD
90000001,NESCAFE 3 IN 1 SACHET 17 GR
90000001,BISKUAT ENERGI COKLAT 56 GR
90000001,STELLA FRESHENER 70 GR JERUK
90000001,CHAMP BAKSO AYAM 200GR
90000001,ROKOK DIPLOMAT 16
90000001,KK GT MAN BUSINESS BP-14
90000001,MINYAK ANGIN CAP KAPAK 10ML
90000001,KIS CHEWY2 LEMON 97
90000001,KOPIKO 78C BTL 250 ML
90000001,TEH BTL SOSRO JASMINE 500 ML
90000001,U.MILK STRABERY 250ML
90000001,ROKOK DUNHILL MILD 20
90000001,DUNHILL FILTER 16
90000001,MIE SEDAP CUP RASA BASO SPECIAL 77 GR
90000001,ROKOK GG MILD 16
90000001,ROKOK AVOLUTION MENTHOL
90000001,ROKOK MAGNUM MILD 16 
90000001,ROKOK SAMPURNA MILD 16
90000001,LARUTAN PENYEGAR CAP BADAK APEL 320 ML
90000001,RINSO ANTI NODA 900GR
90000001,MILO KLNG 240 ML
90000001,GANTUNGAN KUNCI BESI BULAT
90000001,KERIPIK PISANG YOPI
90000001,NASI KUNING DAN BIHUN GORENG
90000001,KAOS KAKI JOJO MENS
90000002,ROKOK SAMPURNA MILD 16
90000003,DUNHILL FILTER 16
90000004,SENSODYNE GUM CARE 100 GR
90000004,SENSODYNE RAPID RELIEF 120 GR
90000005,ANEKA JAJANAN PASAR
90000005,AQUA 600ML
90000005,TOLAK ANGIN+MADU CAIR 15ML
90000005,ROKOK SAMPURNA MILD 16
90000005,ROTI MANIS ISI 
90000006,NASI KUNING DAN BIHUN GORENG
90000007,GOOD DAY AVOCADO DELIGHT BTL 250ML
90000007,ROKOK SAMPURNA MILD 16
90000007,ROTI MANIS ISI 
90000008,NESTLE BEAR BRAND KLNG 189 ML
90000008,NASI KUNING DAN BIHUN GORENG
90000009,SUPER O2 BTL 385 ML
90000010,ANEKA JAJANAN PASAR
90000010,HB YOGURT STRAWBERRY 200 ML
90000011,VITACIMIN ORANGE 2S
90000011,ROKOK SAMPURNA MILD 16
90000011,MATERAI
90000012,LAYS RUMPUT LAUT 18 GR
90000012,VITACIMIN FRUIT PUNCH 2S
90000012,BISKUAT ENERGI COKLAT 56 GR
90000013,ANEKA JAJANAN PASAR
90000013,VITACIMIN FRUIT PUNCH 2S
90000014,ANEKA JAJANAN PASAR
90000014,GOOD DAY RASA MOCACINNO BTL 250 ML
90000014,ROKOK SAMPURNA MILD 16 LIMITED 
90000014,NASI KUNING DAN BIHUN GORENG
90000015,OREO SOFT CAKE 16 GR
90000015,TOP ZEBRA 20GR
90000015,NESCAFE WHITE COFE 200ML UHT
90000015,KERTAS KADO KIKY BESAR
90000015,SATE KERANG
90000016,ANEKA JAJANAN PASAR
90000016,NASI KUNING DAN BIHUN GORENG
90000017,INDOMIE GORENG JUMBO 129 GR
90000017,PERMEN JAHE
90000017,TELUR AYAM
90000018,ALFA ONE GALON ISI ULANG
90000019,AQUA PRIMA 1500 ML
90000020,ANEKA JAJANAN PASAR
90000020,BENDERA SKM COKLAT  SACHET 42GR
90000020,ROKOK SAMPURNA MILD 16
90000020,INDOCAFE COFFEMIX 20GR
90000020,ROTI MANIS ISI 
90000021,ROKOK SURYAPRO MERAH 16
90000022,ANEKA JAJANAN PASAR
90000022,AQUA PRIMA 1500 ML
90000023,ROKOK SURYA 16
90000024,SOFTEX SPR DLX MAXI WING 24S
90000025,ANEKA JAJANAN PASAR
90000025,ROKOK GG FILTER  12
90000026,KOMIX RASA JERUK SACHET 7 ML
90000026,ROTI UMI KALSUM
90000027,ANEKA JAJANAN PASAR
90000027,TEH SOSRO KTK JASMINE 200 ML
90000027,ROKOK SURYA 16
90000028,ROKOK SAMPURNA MILD 16
90000029,TABUNG GAS ELPIJI 12KG
90000030,ROKOK SAMPURNA MILD 12
90000031,SANDAL SWALLOW
90000032,ANEKA JAJANAN PASAR
90000032,AQUA CUP 240 ML
90000032,KOTAK KUE SEDAP MANTAP  12X12 
90000033,AQUA 600ML
90000034,ROKOK SAMPURNA U MILD
90000035,VITACIMIN SWEETLET
90000036,ANEKA JAJANAN PASAR
90000037,ADES NATURAL 600 ML
90000038,ROKOK DIPLOMAT MILD 16
90000039,ANEKA JAJANAN PASAR
90000039,FRESTEA GREEN 500 ML
90000039,FRESTEA GREEN 750 ML BTL
90000039,LASEGAR  RASA STRAWBERI 320ML
90000040,ANEKA JAJANAN PASAR
90000040,NASI KUNING DAN BIHUN GORENG
90000041,ANEKA JAJANAN PASAR
90000041,DONAT MANIS
90000042,ROKOK AVOLUTION MENTHOL
90000043,ANEKA JAJANAN PASAR
90000044,MONDE EGG DROPS 110 GR
90000044,DELFI CHA CHA WRN PEANUT 90G
90000044,HANSAPLAST KAIN ELASTIS 100S
90000044,LASEGAR RASA SIRSAK 320 ML
90000045,PANADOL EXTRA TABLET
90000046,ROKOK SAMPURNA MILD 16
90000047,ROKOK SURYA 16
90000048,ROKOK MARLBORO LIGHT
90000048,KOREK API TOKAI/TAJ SENTER
90000049,ANEKA JAJANAN PASAR
90000049,ROKOK MARLBORO MERAH
90000050,ROKOK MARLBORO MERAH
90000051,AQUA PRIMA 1500 ML
90000052,ALFA ONE GALON ISI ULANG
90000053,DUNHILL MILD 16
90000054,ADES 1500 ML
90000054,ROKOK GG MILD 16
90000055,ADES NATURAL 600 ML
90000055,SARI ROTI ISI COKLAT KEJU
90000055,YOU C 1000 LEMON 140ML
90000056,YAKULT
90000057,ANEKA JAJANAN PASAR
90000057,NASI KUNING DAN BIHUN GORENG
90000058,ADES 1500 ML
90000058,NASI KUNING DAN BIHUN GORENG
90000059,AQUA PRIMA 1500 ML
90000059,ALFA ONE GALON ISI ULANG
90000060,ROKOK SAMPURNA MILD 16
90000061,AROMA SLM 16
90000062,MINUTE PULPY ORANGE 1 LTR
90000062,MINUTE MAID NUTRIBOOST 300 ML ORANGE
90000062,WALLS RAINBOW POWER 60 ML
90000063,NASI KUNING DAN BIHUN GORENG
90000064,ROKOK SAMPURNA MILD 16
90000065,SKM CAP ENAK PUTIH 385 GR
90000066,LAYS RASA RUMPUT LAUT 40 GR
90000066,ANEKA JAJANAN PASAR
90000066,SILVER QUEEN BITES RASA ALMOND NUT 45 GR
90000066,SARI ROTI SANDWICH ISI KEJU
90000067,LAYS RASA RUMPUT LAUT 40 GR
90000067,JETZ SWEET COKLAT 15 GR
90000067,ASTOR 50G
90000067,SARI ROTI ISI SARIKAYA
90000067,ULTRA TEH KOTAK JASMINE 200ML
90000068,ANEKA JAJANAN PASAR
90000068,FRESTEA GREEN 500 ML
90000068,FRESH CARE CITRUS 10 ML
90000068,TOLAK ANGIN+MADU CAIR 15ML
90000069,ROKOK SAMPURNA U MILD
90000070,ANEKA JAJANAN PASAR
90000070,VITACIMIN ORANGE 2S
90000070,ROKOK AVOLUTION MENTHOL
90000070,PIA HOKKY 
90000071,KOMIX RASA JERUK SACHET 7 ML
90000071,LARUTAN CAP KAKI 3 BTL 200 ML
90000071,TOLAK ANGIN+MADU CAIR 15ML
90000072,ANEKA JAJANAN PASAR
90000073,CLASS MILD 16
90000074,TOLAK ANGIN+MADU CAIR 15ML
90000075,ANEKA JAJANAN PASAR
90000075,ROKOK SAMPURNA MILD 16
90000076,ADES 1500 ML
90000077,AQUA 600ML
90000078,GOOD DAY CAPPUCCINO 25 GR
90000078,ROKOK GG MILD 16
90000079,ANEKA JAJANAN PASAR
90000079,AQUA 600ML
90000079,NASI KUNING DAN BIHUN GORENG
90000080,INDOMIE GORENG JUMBO 129 GR
90000080,INDOMIE GORENG JUMBO AYAM PANGGANG 128GR
90000080,INDOMIE SOTO LAMONGAN 90G
90000080,SAMBAL BALADO REF 200G
90000080,ANEKA JAJANAN PASAR
90000080,SAMBAL ABC EXTRA PEDAS POUCH 380 G
90000080,PRONAS CORNED BEEF 120GR
90000080,PRONAS SARDEN CHILI 155 GR
90000080,ACTIFED HIJAU 120ML
90000081,ANEKA JAJANAN PASAR
90000081,ALFA ONE GALON ISI ULANG
90000082,INDOCAFE COFFEMIX 20GR
90000082,NASI KUNING DAN BIHUN GORENG
90000083,CLASS MILD 16
90000084,ROKOK MARLBORO MERAH
90000084,LASEGAR RASA JERUK 320ML
90000085,ROKOK DJI SAM SOE 16
90000086,ANEKA JAJANAN PASAR
90000086,NASI KUNING DAN BIHUN GORENG
90000087,SARI ROTI SANDWICH ISI KEJU
90000087,ADES 1500 ML
90000088,MAP KERTAS MEREK BPS
90000088,PENA FASTER C-600
90000089,ROKOK MARLBORO MERAH
90000089,BODREX FLU & BTUK 4S
90000090,ANEKA JAJANAN PASAR
90000090,KOTAK KUE BUNGA 16X12
90000091,TEBS KLG 330 ML
90000092,ANEKA JAJANAN PASAR
90000092,NASI KUNING DAN BIHUN GORENG
90000093,ROKOK SURYA 16
90000094,NASI KUNING DAN BIHUN GORENG
90000095,ANEKA JAJANAN PASAR
90000095,ALFA ONE GALON ISI ULANG
90000096,ANEKA JAJANAN PASAR
90000096,NASI KUNING DAN BIHUN GORENG
90000097,ANEKA JAJANAN PASAR
90000097,TELUR AYAM
90000098,MR MUSCLE AXKERMK 800M APPLE
90000099,FRESTEA GREEN 750 ML BTL
90000099,KOREK API TOKAI/TAJ SENTER
90000100,ULTRA MILK LOW FAT 250 ML
90000100,FISHERMAN FRIEND SUGAR FREE BLKCRNT 25G
90000101,ROKOK SAMPURNA MILD 12
90000101,NASI KUNING DAN BIHUN GORENG
90000102,ANEKA JAJANAN PASAR
90000102,AQUA 600ML
90000103,MINUTE MAID PULPY ORANGE 350ML
90000103,ADES NATURAL 350M
90000104,ANEKA JAJANAN PASAR
90000104,NASI KUNING DAN BIHUN GORENG
90000105,BOOM  DETERGEN BAG 800 GR
90000105,SABUN CREAM EKONOMI PUTIH 500GR
90000106,AQUA 600ML
90000107,POCARI 350ML
90000108,COCA-COLA BTL 425 ML
90000109,ANEKA JAJANAN PASAR
90000109,AQUA 600ML
90000109,PIATTOS SAPI PANGGANG 85G
90000109,NASI KUNING DAN BIHUN GORENG
90000110,ANEKA JAJANAN PASAR
90000110,KERIPIK BAWANG JAMBI
90000110,AQUA GALON
90000110,KEDELE  JAGUNG LINTING KEPANG 5758 1/2KG
90000110,PEYEK KERIPIK BAYAM SINGKONG PEDAS
90000111,QUAKER OATMEAL INSTAN 800 GR
90000111,KERIPIK TEMPE IBU TITIN
90000112,ROKOK SURYA 16
90000113,INDOMIE GORENG JUMBO 129 GR
90000114,ANEKA JAJANAN PASAR
90000114,ROKOK DJI SAM SOE 12
90000114,ROKOK SAMPURNA MILD 16
90000114,NASI KUNING DAN BIHUN GORENG
90000115,ANEKA JAJANAN PASAR
90000115,FRESTEA FRUTCY LEMON 500 ML
90000115,FRESTEA GREEN HONEY 500 ML
90000116,ROKOK MARLBORO LIGHT
90000116,AQUA 600ML
90000117,CLASS MILD 16
90000117,FRUIT TEA GUAVA 500M
90000117,RUJAK MI RAGIT
90000118,MONDE EGG DROPS 110 GR
90000118,POCARI 350ML
90000118,ROTI TAWAR
90000119,RAWIT JOGED 12
90000120,ROKOK SURYA 16
90000120,ROKOK SAMPURNA MILD 16
90000121,ROKOK SAMPURNA MILD 16
90000122,ANEKA JAJANAN PASAR
90000123,ULTRA SARI KACANG HIJAU 200 ML
90000124,ROKOK DJI SAM SOE MAGNUM
90000125,CHOCHO WAFER STICK RADJA 750 GR
90000126,ANEKA JAJANAN PASAR
90000126,COCA-COLA 1500 ML
90000126,OSKADON TABLET
90000126,DONAT MANIS
90000127,BENDERA SKM KRIMER 45 GR
90000127,SPRITE BTL 425 ML
90000128,ANEKA JAJANAN PASAR
90000128,ROKOK MARLBORO MERAH
90000128,AMSAFE AROMATHERAPI ROLL ON
90000128,JOY TEA HONEY LEMON 500 ML
90000129,AQUA 600ML
90000129,ROKOK SURYA 16
90000129,NASI KUNING DAN BIHUN GORENG
90000130,ROKOK SURYA 16
90000131,ROKOK SURYA PROMILD PUTIH 16
90000131,ANEKA SNACK HAWAI JAGUNG STIK KACANG
90000132,INDOMIE MIE GORENG RASA IGA PENYET 80 GR
90000132,INDOMIE GORENG KRIUK PEDAS
90000132,ANEKA JAJANAN PASAR
90000132,PERMEN JAHE
90000132,NASI KUNING DAN BIHUN GORENG
90000132,RUJAK MI RAGIT
90000133,ROKOK SAMPURNA U MILD
90000133,ROKOK SAMPURNA MILD 16
90000134,ANEKA JAJANAN PASAR
90000135,ANEKA JAJANAN PASAR
90000136,ANEKA JAJANAN PASAR
90000137,ANEKA JAJANAN PASAR
90000138,KAPAL API SP MERAH 65G
90000138,ALFA ONE GALON ISI ULANG
90000139,ANEKA JAJANAN PASAR
90000139,SARI ROTI SANDWICH ISI COKLAT
90000139,SARI ROTI SANDWICH ISI KEJU
90000140,ANEKA JAJANAN PASAR
90000141,ALFAONE 240ML
90000142,ANEKA JAJANAN PASAR
90000142,YOU C 1000 VIT ORANGE
90000143,AQUARIUS BTL 500 ML
90000144,BENDERA COKLAT 115 ML KTK
90000144,INDOMILK UHT COKLAT 250M
90000145,SNICKERS 51G
90000145,SARI ROTI SANDWICH ISI COKLAT
90000145,YOU C 1000 LEMON WATER 500 ML
90000146,ANEKA JAJANAN PASAR
90000146,GULAKU PREMIUM PUTIH 1 KG
90000146,KOPI KIJANG 1/4KG
90000147,ANEKA JAJANAN PASAR
90000147,NASI KUNING DAN BIHUN GORENG
90000148,ANEKA JAJANAN PASAR
90000148,FANTA STRAWBERY 1 5 LITER PET 5 LITER PET
90000149,PERMEN JAHE
90000149,TORABIKA DUO SUSU 6x33G
90000150,AQUA GALON
90000151,INDOMIE GORENG JUMBO AYAM PANGGANG 128GR
90000151,PERMEN JAHE
90000151,GAGA MI 100 GRG PEDAS 88 GR
90000151,NASI KUNING DAN BIHUN GORENG
90000152,INDOMIE GORENG JUMBO AYAM PANGGANG 128GR
90000153,INDOMIE GORENG JUMBO 129 GR
90000153,INDOMIE GORENG JUMBO AYAM PANGGANG 128GR
90000153,BENDERA SKM KRIMER 45 GR
90000154,ANEKA JAJANAN PASAR
90000154,NESTLE BEAR BRAND KLNG 189 ML
90000154,NASI KUNING DAN BIHUN GORENG
90000155,ROKOK MARLBORO LIGHT
90000155,ALFAONE 240ML
90000156,ANEKA JAJANAN PASAR
90000157,ANEKA JAJANAN PASAR
90000157,AQUA CUP 240 ML
90000157,KOTAK KUE SELERA MANTAP 12X16
90000158,TEH BTL SOSRO LESS SUGAR 500 ML
90000159,INDOMIE KARI AYAM 72 GR
90000159,CHIKI SNACK BALL 12G
90000159,JETZ SWEET COKLAT 15 GR
90000160,ANEKA JAJANAN PASAR
90000160,SPRITE 1500 ML
90000160,NASI KUNING DAN BIHUN GORENG
90000161,ANEKA JAJANAN PASAR
90000161,TEH KOTAK SOSRO JASMINE 250 ML
90000161,KOTAK KUE SELERA MANTAP 12X16
90000162,ROKOK SURYA 16
90000163,ANEKA JAJANAN PASAR
90000163,FRESTEA GREEN HONEY 500 ML
90000163,BOLU PANDAN POTONG MARTABAK BESAR
90000163,NASI KUNING DAN BIHUN GORENG
90000164,ANEKA JAJANAN PASAR
90000164,AQUA 330ML
90000164,SARI ROTI SANDWICH ISI KEJU
90000164,PEMPEK NUR SATUAN
90000165,ROKOK SURYA 16
90000166,BOBO ROTI SOBEK COKLAT
90000167,KOPIKO 78C BTL 250 ML
90000167,JOY TEA JASMINE 500 ML
90000168,CITRA HBL WHITE UV 250 ML
90000169,AQUA 600ML
90000169,ROKOK SURYA 16
90000170,INDOCAFE COFFEMIX 20GR
90000171,ULTRA MILK LOW FAT 250 ML
90000171,ROKOK SURYA 16
90000172,ROKOK MARLBORO LIGHT
90000173,SATE KERANG
90000174,ROKOK SAMPURNA MILD 16
90000175,ANEKA JAJANAN PASAR
90000175,FANTA STRAWBERY 1 5 LITER PET
90000175,TEH BTL SOSRO JASMINE 500 ML
90000176,ROKOK MARLBORO LIGHT
90000176,FRESTEA GREEN HONEY 500 ML
90000177,ULTRA MILK COKLAT 250 ML
90000177,ULTRA MILK LOW FAT COK 250ML
90000177,ULTRA SARI KACANG HIJAU 200 ML
90000177,PEMPEK KAP KECIL ISI 5
90000178,POP MIE RASA AYAM 56 GR
90000178,ANEKA JAJANAN PASAR
90000178,SAMBAL EKSTRA HOT 140ML
90000178,GOOD DAY WHITE CAPPUC 25G
90000179,ANEKA JAJANAN PASAR
90000180,FRESTEA BLACK JASMINE HONEY 500 ML
90000180,YOU C 1000 LEMON 140ML
90000180,GANTUNGAN KUNCI RUMAH HOLDER
90000181,ANEKA JAJANAN PASAR
90000181,ALFAONE 240ML
90000182,CAKAR AYAM PISANG MOLEN RR
90000182,KERIPIK PISANG YOPI
90000182,KERIPIK SINGKONG PEDAS N ASIN PITOYO
90000183,ANEKA JAJANAN PASAR
90000184,ROKOK MARLBORO MERAH
90000185,ANEKA JAJANAN PASAR
90000185,ROKOK MARLBORO MERAH
90000186,ANEKA JAJANAN PASAR
90000186,POCARI SWEAT BTL 500 ML
90000186,ROKOK DJI SAM SOE MAGNUM
90000187,KOPI BINTANG 1/2kg
90000188,ANEKA JAJANAN PASAR
90000189,TEH SOSRO KTK JASMINE 200 ML
90000189,RUJAK MI RAGIT
90000189,BOLU KUKUS
90000190,ANEKA JAJANAN PASAR
90000190,SPRITE BTL 425 ML
90000191,ROKOK MARLBORO MERAH
90000191,GOOD DAY RASA MOCACINNO BTL 250 ML
90000192,DUNHILL MILD 16
90000193,ALFA ONE GALON ISI ULANG
90000194,ALFA ONE GALON ISI ULANG
90000194,TORABIKA DUO SUSU 6x33G
90000195,ALFA ONE GALON ISI ULANG
90000196,ULTRA MILK COKLAT 250 ML
90000196,ULTRA MILK LOW FAT 250 ML
90000197,ROKOK DJARUM SUPER MLD 20
90000197,ROKOK SAMPURNA MILD 12
90000198,ROKOK SAMPURNA MILD 16
90000199,ANEKA JAJANAN PASAR
90000199,AQUA PRIMA 1500 ML
90000200,ANEKA JAJANAN PASAR
90000200,SPRITE 1500 ML
90000200,ADES 1500 ML
90000201,ROKOK SAMPURNA MILD 16 LIMITED 
90000201,ROKOK SAMPURNA MENTHOL 16
90000202,ANEKA JAJANAN PASAR
90000202,POCARI 350ML
90000203,POCARI 350ML
90000203,HEMAVITON STAMINA PLUS 5 S
90000204,POCARI SWEAT BTL 500 ML
90000204,PEMPEK NUR SATUAN
90000205,KRATINGDAENG REG 150ML
90000205,FRESTEA FRUTCY LEMON 500 ML
90000205,Q GUAVA BTL 350 ML
90000205,LASEGAR RASA SIRSAK 320 ML
90000206,KRATINGDAENG REG 150ML
90000207,SPRITE 1500 ML
90000207,MINUTE MAID PULPY TROPICAL 350 ML
90000207,ROKOK DJI SAM SOE MAGNUM
90000207,ROKOK SAMPURNA MILD 16
90000208,SILVER QUEEN  CASHEW 75G
90000208,KACANG BAWANG ANIK
90000209,GLADE SENSATION FLORAL PERPECT REFF 8 GR
90000209,SANDAL SWALLOW
90000210,ROKOK DJI SAM SOE MAGNUM
90000211,AQUA CUP 240 ML
90000211,STELLA ALL IN ONE F LEMON 70 GR
90000212,KOPIKO 78C BTL 250 ML
90000213,ALFA ONE GALON ISI ULANG
90000213,STREPSIL SUGAR FREE 6 BTR
90000214,ANEKA JAJANAN PASAR
90000215,ANEKA JAJANAN PASAR
90000215,SUPER O2 BTL 385 ML
90000215,ROKOK SURYA 16
90000216,FROZZ MINT 15 GR
90000216,MATERAI
90000217,POCARI SWEAT BTL 500 ML
90000218,ANEKA JAJANAN PASAR
90000218,CIMORY YOGURT BLUEBERRY 250ML
90000219,SARI ROTI SANDWICH ISI COKLAT
90000219,LASEGAR RASA JERUK 320ML
90000219,MATERAI
90000220,BATERE ENERGIZER ALK MAX E91 BP4
90000221,SUNLIGHT LIME REFIL 800 ML
90000222,YUPI DINO LAND 10G
90000222,OREO CHOCOLATE CREAM 29 GR
90000223,ANEKA JAJANAN PASAR
90000223,RUJAK MI RAGIT
90000224,KOREK GAS FOX
90000225,ROKOK SAMPURNA MILD 16
90000226,FRESTEA GREEN 500 ML
90000226,FRESTEA FRUCY APEL 500 ML
90000227,ANEKA JAJANAN PASAR
90000228,CLASS MILD 16
90000229,ANEKA JAJANAN PASAR
90000229,AQUA 600ML
90000230,CLASS MILD 16
90000230,POCARI SWEAT BTL 500 ML
90000231,KERIPIK SINGKONG PEDAS N ASIN PITOYO
90000232,PERMEN MINT DOUBLEMINT 125 GR
90000232,FOX PASSION MINT BAG 125 GR
90000232,ROKOK SURYA 16
90000233,POCARI SWEAT BTL 2 LTR
90000234,COCA-COLA BTL 425 ML
90000234,SPRITE BTL 425 ML
90000234,FANTA STRAWBERRY BTL 425 ML
90000234,FANTA JERUK BTL 425ML
90000235,ROKOK GG FILTER  12
90000236,AQUA 600ML
90000236,CLASS MILD 16
90000237,ROKOK SURYA 16
90000238,AQUA 600ML
